mode,invocation_id,runtime_sec,context_load_sec,library_setup_sec,compute_sec,start_wall_time,end_wall_time,checksum,completion_sec,workers
L1,0,0.07810079299997597,0.06443383800001357,0.0,0.002350345999957426,1781386799.3824763,1781386799.4605794,0.03162277660165239,0.24424219131469727,1
L1,1,0.07655195899997125,0.06366549599988502,0.0,0.0015391389999876992,1781386799.614274,1781386799.6908283,0.03162277660165169,0.4744911193847656,1
L1,2,0.07371861000001445,0.061536972000112655,0.0,0.001532424000060928,1781386799.8248904,1781386799.8986108,0.031622776601652275,0.6822736263275146,1
L1,3,0.0747538150001219,0.06218674000001556,0.0,0.001614079000091806,1781386800.0355535,1781386800.1103094,0.031622776601652136,0.8939721584320068,1
L1,4,0.07443698700012646,0.06207065999979022,0.0,0.0014814529999966908,1781386800.248276,1781386800.322715,0.03162277660165262,1.1063778400421143,1
L1,5,0.07350876499981496,0.061179643000059514,0.0,0.0015455459999884624,1781386800.4604726,1781386800.5339835,0.031622776601652164,1.3176462650299072,1
L1,6,0.07446006500003932,0.0617870609999045,0.0,0.001708070000177031,1781386800.6705868,1781386800.7450488,0.031622776601652094,1.5287115573883057,1
L1,7,0.07351427799994781,0.060979317999908744,0.0,0.0015484579998883419,1781386800.8790166,1781386800.9525328,0.031622776601652365,1.7361955642700195,1
L1,8,0.07286469699988629,0.060651897000070676,0.0,0.0014686770000480465,1781386801.0862129,1781386801.1590793,0.03162277660165214,1.942742109298706,1
L1,9,0.0740094150000914,0.06129071999998814,0.0,0.001610115000175938,1781386801.2949834,1781386801.3689947,0.03162277660165214,2.1526575088500977,1
L1,10,0.07438100199988185,0.061733025999956226,0.0,0.0014980409998770483,1781386801.5062032,1781386801.580586,0.03162277660165213,2.364248752593994,1
L1,11,0.0741881280000598,0.061341719999973066,0.0,0.0015043299999888404,1781386801.718871,1781386801.793061,0.03162277660165203,2.57672381401062,1
L1,12,0.0730176689999098,0.06073606600011772,0.0,0.0015149969999583845,1781386801.9319463,1781386802.0049663,0.031622776601652004,2.7886290550231934,1
L1,13,0.07293640900002174,0.06077695900012259,0.0,0.001462826000079076,1781386802.1393454,1781386802.2122838,0.03162277660165259,2.9959466457366943,1
L1,14,0.0735906980000891,0.06101343199998155,0.0,0.001499167000019952,1781386802.347414,1781386802.4210067,0.03162277660165214,3.20466947555542,1
L1,15,0.07367268899997725,0.06118782499993358,0.0,0.0014945329999136447,1781386802.557295,1781386802.6309698,0.03162277660165201,3.414632558822632,1
L1,16,0.07492608100005782,0.06105493499990189,0.0,0.002188099999784754,1781386802.7690966,1781386802.8440256,0.03162277660165162,3.627688407897949,1
L1,17,0.07420158100012486,0.06166775899987442,0.0,0.0014731589999428252,1781386802.9897594,1781386803.0639632,0.03162277660165256,3.847625970840454,1
L1,18,0.07367001900001924,0.06096105399979024,0.0,0.0014952720000565023,1781386803.2064776,1781386803.2801495,0.031622776601652115,4.063812255859375,1
L1,19,0.07318331400006173,0.06102018699994005,0.0,0.0014211949999207718,1781386803.4188738,1781386803.4920592,0.03162277660165225,4.275722026824951,1
L1,20,0.07417690799979937,0.06177739000008842,0.0,0.0015122489999157551,1781386803.6299014,1781386803.7040818,0.031622776601651956,4.487744569778442,1
L1,21,0.07277060000001256,0.0608573009999418,0.0,0.0014431669999339647,1781386803.8359582,1781386803.9087312,0.03162277660165212,4.692394018173218,1
L1,22,0.07360046999997394,0.060946540000031746,0.0,0.0014938670001356513,1781386804.0430543,1781386804.1166565,0.03162277660165202,4.900319337844849,1
L1,23,0.07291809299999841,0.060890340000014476,0.0,0.0014339770000333374,1781386804.2500696,1781386804.3229892,0.03162277660165221,5.106652021408081,1
L1,24,0.07302440400007981,0.06089474399982464,0.0,0.0014379420001660037,1781386804.4579206,1781386804.5309467,0.031622776601652317,5.314609527587891,1
L1,25,0.0720168539999122,0.06028467000010096,0.0,0.0014241660001061973,1781386804.660849,1781386804.7328682,0.031622776601652226,5.516530990600586,1
L1,26,0.0719929559998036,0.06037254800003211,0.0,0.0014355999999224878,1781386804.8619363,1781386804.9339314,0.03162277660165183,5.717594146728516,1
L1,27,0.0728620720001345,0.06116142500013666,0.0,0.001408841000056782,1781386805.0651221,1781386805.1379864,0.031622776601652205,5.921649217605591,1
L1,28,0.07224091800003407,0.06058764800013705,0.0,0.0014357540001128655,1781386805.265611,1781386805.337854,0.03162277660165196,6.121516704559326,1
L1,29,0.07229246699989744,0.06058588099995177,0.0,0.0014290490000803402,1781386805.4699502,1781386805.5422447,0.03162277660165266,6.325907468795776,1
L1,30,0.07181194400004642,0.060244453999985126,0.0,0.0014048160001038923,1781386805.6703324,1781386805.742146,0.031622776601652115,6.525808811187744,1
L1,31,0.07241739799997049,0.06071914099993592,0.0,0.0014361850001023413,1781386805.873565,1781386805.9459846,0.03162277660165247,6.729647397994995,1
L1,32,0.07178225400002702,0.06021577699993941,0.0,0.0014397009999811416,1781386806.073873,1781386806.1456575,0.031622776601651977,6.929320335388184,1
L1,33,0.07276966800009177,0.06101032599985956,0.0,0.0014397529998859682,1781386806.2775412,1781386806.350313,0.0316227766016524,7.1339757442474365,1
L1,34,0.07307030900005884,0.061325909999823125,0.0,0.0014059000000088417,1781386806.4791746,1781386806.552247,0.03162277660165211,7.335909843444824,1
L1,35,0.073172169000145,0.060767743000042174,0.0,0.001471617000106562,1781386806.687855,1781386806.761029,0.03162277660165204,7.544691801071167,1
L1,36,0.07285438700000668,0.060669896000035806,0.0,0.0014480049999292532,1781386806.8964705,1781386806.9693267,0.03162277660165226,7.7529895305633545,1
L1,37,0.07403140700012045,0.061916824000036286,0.0,0.001442514000018491,1781386807.104847,1781386807.1788805,0.031622776601652004,7.962543249130249,1
L1,38,0.07233850300008271,0.06046530499997971,0.0,0.0014119279999249557,1781386807.3108816,1781386807.3832219,0.031622776601652164,8.166884660720825,1
L1,39,0.0728678079999554,0.06049230300004638,0.0,0.001445876999923712,1781386807.516977,1781386807.5898468,0.03162277660165194,8.373509645462036,1
L1,40,0.07483718699995734,0.06259657199984758,0.0,0.0016851520001637255,1781386807.7247949,1781386807.7996347,0.03162277660165227,8.583297491073608,1
L1,41,0.07433305900008236,0.06176385899993875,0.0,0.0014585220001208654,1781386807.9347868,1781386808.0091221,0.03162277660165202,8.792784929275513,1
L1,42,0.07321675699995467,0.061227563000102236,0.0,0.0014551490000940248,1781386808.1475065,1781386808.2207248,0.0316227766016521,9.004387617111206,1
L1,43,0.0732437359999949,0.06067202700000962,0.0,0.0020477620000747265,1781386808.350573,1781386808.4238188,0.03162277660165232,9.207481622695923,1
L1,44,0.07253986099999565,0.06043473500017171,0.0,0.001437099999975544,1781386808.5552952,1781386808.6278372,0.03162277660165214,9.411499977111816,1
L1,45,0.07273426400001881,0.06055761900006473,0.0,0.0014636999999311229,1781386808.758604,1781386808.8313403,0.03162277660165209,9.615003108978271,1
L1,46,0.0725056809999387,0.060792846999902395,0.0,0.0014187909998781834,1781386808.9638941,1781386809.0364017,0.03162277660165256,9.820064544677734,1
L1,47,0.07215340200013998,0.06028102699997362,0.0,0.0014433789999657165,1781386809.1654923,1781386809.2376478,0.03162277660165203,10.021310567855835,1
L1,48,0.07275589400001081,0.06083996699999261,0.0,0.0014561620000677067,1781386809.3690104,1781386809.4417684,0.031622776601651865,10.225431203842163,1
L1,49,0.07223849499996504,0.06036377899999934,0.0,0.0014469029999872873,1781386809.57171,1781386809.643951,0.03162277660165208,10.427613735198975,1
L1,50,0.07414424300009159,0.06166646299993772,0.0,0.0014533900000515132,1781386809.776588,1781386809.8507352,0.03162277660165232,10.634397983551025,1
L1,51,0.0725950210000974,0.06053703900010987,0.0,0.001444123000055697,1781386809.982303,1781386810.0549,0.03162277660165224,10.838562726974487,1
L1,52,0.07201009400000657,0.06031102499991903,0.0,0.001388264000070194,1781386810.185839,1781386810.2578511,0.03162277660165202,11.041513919830322,1
L1,53,0.07204788300009568,0.060390451999865036,0.0,0.00139855800011901,1781386810.389555,1781386810.4616046,0.03162277660165236,11.245267391204834,1
L1,54,0.07175767599983374,0.06014285900005234,0.0,0.0013795459999528248,1781386810.5913224,1781386810.663082,0.031622776601652434,11.446744680404663,1
L1,55,0.07574623200002861,0.06356107299984615,0.0,0.001440387999991799,1781386810.792951,1781386810.8686993,0.03162277660165237,11.65236210823059,1
L1,56,0.0726091940000515,0.0609912610000265,0.0,0.0014132869998775277,1781386810.9984229,1781386811.0710337,0.03162277660165218,11.85469651222229,1
L1,57,0.07361570199987,0.06194803499988666,0.0,0.0014314259999537171,1781386811.1996398,1781386811.2732575,0.03162277660165218,12.056920289993286,1
L1,58,0.07194753399994624,0.060390585999812174,0.0,0.0014020620001247153,1781386811.401883,1781386811.4738321,0.03162277660165203,12.257494926452637,1
L1,59,0.0738450390001617,0.06182733199989343,0.0,0.0013923730000442447,1781386811.602231,1781386811.6760778,0.03162277660165209,12.45974063873291,1
L1,60,0.0722548740000093,0.060489011000072423,0.0,0.001410758000019996,1781386811.8075008,1781386811.879758,0.031622776601652,12.663420677185059,1
L1,61,0.07201109900006486,0.06023133000007874,0.0,0.0014093540000885696,1781386812.009102,1781386812.0811145,0.03162277660165202,12.864777326583862,1
L1,62,0.07245403399997485,0.06055506999996396,0.0,0.0014068949999455072,1781386812.2103574,1781386812.2828135,0.03162277660165239,13.066476345062256,1
L1,63,0.07240968399992198,0.0604163210000479,0.0,0.0014404599999124912,1781386812.4136055,1781386812.4860168,0.03162277660165232,13.269679546356201,1
L1,64,0.07338973199989596,0.06142712099995151,0.0,0.0014329240000279242,1781386812.6150453,1781386812.6884372,0.03162277660165211,13.472100019454956,1
L1,65,0.07262262200015357,0.06079354300004525,0.0,0.0014527180001095985,1781386812.8214526,1781386812.8940768,0.031622776601652365,13.67773962020874,1
L1,66,0.07223638100003882,0.060502207999888924,0.0,0.00145775600003617,1781386813.0245812,1781386813.0968192,0.03162277660165204,13.880481958389282,1
L1,67,0.07291365199989741,0.06101391900006092,0.0,0.0014131410000572941,1781386813.2263422,1781386813.2992575,0.03162277660165221,14.08292031288147,1
L1,68,0.07219939400010844,0.06040509599984034,0.0,0.0014223570001377084,1781386813.4292428,1781386813.501444,0.03162277660165235,14.285106897354126,1
L1,69,0.07456590900005722,0.061980469999980414,0.0,0.0014889429999129788,1781386813.631527,1781386813.7060947,0.031622776601652185,14.489757537841797,1
L1,70,0.07324032100018485,0.06136628500007646,0.0,0.0014241419999052596,1781386813.8417323,1781386813.9149747,0.03162277660165205,14.69863748550415,1
L1,71,0.07216873999982454,0.060412299000063285,0.0,0.0014553039998190798,1781386814.044943,1781386814.1171136,0.03162277660165213,14.900776386260986,1
L1,72,0.07212318500000947,0.060262410999939675,0.0,0.00142187999995258,1781386814.2478967,1781386814.3200214,0.031622776601652317,15.103684186935425,1
L1,73,0.07399683399989954,0.06167190299993308,0.0,0.0014440989998547593,1781386814.4500794,1781386814.5240781,0.03162277660165245,15.307740926742554,1
L1,74,0.07208354800013694,0.06042413000000124,0.0,0.0014124479998827155,1781386814.6561239,1781386814.7282093,0.03162277660165237,15.511872053146362,1
